id,categoria,nombre,descripcion,precio,garantia,imagen,disponible
1,ALL IN ONE,"HP ProOne 240 G10 ULTRA5-125U 4,3 GHz,16GB DDR5, SSD M.2 512 GB, FHD (1920 x 1080) IPS 23.8 PULG, TECLADO EN ESPAÑOL, SO.FREE, PN: CQ1V5LT#ABM","HP ProOne 240 G10 ULTRA5-125U 4,3 GHz,16GB DDR5, SSD M.2 512 GB, FHD (1920 x 1080) IPS 23.8 PULG, TECLADO EN ESPAÑOL, SO.FREE, PN: CQ1V5LT#ABM",3080.0,HP - 12 M,,SI
2,NOTEBOOKS,"NB LENOVO V15 G4 ATHLON SILVER 7120U 3.5GHz, 8GB DDR5, SSD 256GB NVMe, LED 15.6"" FHD (1920x1080), WCAM HD 720p, TECLADO EN ESPAÑOL, SO.FREE.         PN 82YU00X5LM","NB LENOVO V15 G4 ATHLON SILVER 7120U 3.5GHz, 8GB DDR5, SSD 256GB NVMe, LED 15.6"" FHD (1920x1080), WCAM HD 720p, TECLADO EN ESPAÑOL, SO.FREE.         PN 82YU00X5LM",1920.0,LENOVO - 12 M,,SI
3,NOTEBOOKS,"NB HP 15-FD1258LA   CORE 5-120U 5.0GHz , 8GB DDR5, SSD 256 GB, LED 15.6"" FHD (1920 x 1080), WCAM 720P, TECLADO EN ESPAÑOL, SO. FREE      PN:  DM8V2LA#ABM","NB HP 15-FD1258LA   CORE 5-120U 5.0GHz , 8GB DDR5, SSD 256 GB, LED 15.6"" FHD (1920 x 1080), WCAM 720P, TECLADO EN ESPAÑOL, SO. FREE      PN:  DM8V2LA#ABM",2480.0,HP - 12 M,,SI
4,NOTEBOOKS,"NB LENOVO V15 G5 IRL CORE I5 - 13420H  2.1 / 4.6 GHZ, 8GB DDR5, SSD 512 GB NVMe, LED 15.6"" FHD (1920x1080), WCAM 720P, TECLADO EN ESPAÑOL, SO. FREE. PN: 83GW005LLD","NB LENOVO V15 G5 IRL CORE I5 - 13420H  2.1 / 4.6 GHZ, 8GB DDR5, SSD 512 GB NVMe, LED 15.6"" FHD (1920x1080), WCAM 720P, TECLADO EN ESPAÑOL, SO. FREE. PN: 83GW005LLD",2548.0,LENOVO - 12 M,,SI
5,NOTEBOOKS,"NB LENOVO IDEAPAD SLIM 3 15IRH10 CORE I5 - 13420H 4,9 GHz, 8 GB DDR5, SSD 512 GB NVME,  PANTALLA TÁCTIL  IPS 15.3"" WUXGA (1920x1200),  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K10152LM","NB LENOVO IDEAPAD SLIM 3 15IRH10 CORE I5 - 13420H 4,9 GHz, 8 GB DDR5, SSD 512 GB NVME,  PANTALLA TÁCTIL  IPS 15.3"" WUXGA (1920x1200),  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K10152LM",2680.0,LENOVO - 12 M,,SI
6,NOTEBOOKS,"NB LENOVO IDEAPAD SLIM 3 RYZEN 7 - 7735HS 4.75GHz, 16 GB DDR5, SSD 512 GB NVME, OLED 14"" WUXGA (1920x1200),  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K600B6LM","NB LENOVO IDEAPAD SLIM 3 RYZEN 7 - 7735HS 4.75GHz, 16 GB DDR5, SSD 512 GB NVME, OLED 14"" WUXGA (1920x1200),  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K600B6LM",2900.0,LENOVO - 12 M,,SI
7,NOTEBOOKS,"NB HP 250R G10 CORE 7-150U 5.4 GHz , 16GB DDR5, SSD 512 GB, LED 15.6"" HD (1366 x 768), WCAM 720P, TECLADO EN ESPAÑOL, SO. FREE.             PN: D2DX8AT#ABM","NB HP 250R G10 CORE 7-150U 5.4 GHz , 16GB DDR5, SSD 512 GB, LED 15.6"" HD (1366 x 768), WCAM 720P, TECLADO EN ESPAÑOL, SO. FREE.             PN: D2DX8AT#ABM",3228.0,HP - 12 M,,SI
8,NOTEBOOKS,"NB LENOVO IDEAPAD SLIM 3 15IRH10 CORE I7-13620H 4,9 GHz, 16 GB DDR5, SSD 512 GB NVME, IPS 15.3"" WUXGA (1920x1200),  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K101FFLM","NB LENOVO IDEAPAD SLIM 3 15IRH10 CORE I7-13620H 4,9 GHz, 16 GB DDR5, SSD 512 GB NVME, IPS 15.3"" WUXGA (1920x1200),  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K101FFLM",3280.0,LENOVO - 12 M,,SI
9,NOTEBOOKS,"NB LENOVO IDEAPAD SLIM 3 15IRH10 CORE I7-13620H 4,9 GHz, 16 GB DDR5, SSD 512 GB NVME, PANTALLA TÁCTIL IPS 15.3"" WUXGA (1920x1200) ,  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K101EVLM","NB LENOVO IDEAPAD SLIM 3 15IRH10 CORE I7-13620H 4,9 GHz, 16 GB DDR5, SSD 512 GB NVME, PANTALLA TÁCTIL IPS 15.3"" WUXGA (1920x1200) ,  WCAM, TECLADO EN ESPAÑOL, SO.FREE.    PN 83K101EVLM",3440.0,HP - 12 M,,SI
10,NOTEBOOKS,"NB LENOVO GAMING LOQ 15IAX9E CORE I5-12450HX 3,1 GHz, 8GB DDR5, SSD 512GB NVMe, T.VIDEO RTX 3050 6GB, IPS 15.6""  FHD (1920x1080), WCAM 720p, TECLADO EN ESPAÑOL, SO.FREE         PN:83LK00ETLM","NB LENOVO GAMING LOQ 15IAX9E CORE I5-12450HX 3,1 GHz, 8GB DDR5, SSD 512GB NVMe, T.VIDEO RTX 3050 6GB, IPS 15.6""  FHD (1920x1080), WCAM 720p, TECLADO EN ESPAÑOL, SO.FREE         PN:83LK00ETLM",3300.0,LENOVO - 12 M,,SI
